genome_id	genus	species	original_status_I30	risk_category_curated	action	A1_risk	A2_risk	A3_risk	A4_risk	curation_note
Prob197_Enterococcus_durans_A8-1	Enterococcus	Enterococcus durans	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.0227272727272727	0.0	0.3201818181818182	0.3919580419580419	Risk categories are expert-review aids. Only release-table rows alter status.
Prob199_Corynebacterium_accolens_C779	Corynebacterium	Corynebacterium accolens	Safety-review	true_safety_review_opportunistic_taxon	retain_current_non_priority	0.1136363636363636	0.0	0.1045454545454545	0.1923076923076923	Risk categories are expert-review aids. Only release-table rows alter status.
Prob215_Klebsiella_pneumoniae_L5	Klebsiella	Klebsiella pneumoniae	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	1.0	0.6103896103896104	0.6338181818181818	0.7403846153846154	Risk categories are expert-review aids. Only release-table rows alter status.
Prob234_Corynebacterium_amycolatum_ICIS99	Corynebacterium	Corynebacterium amycolatum	Safety-review	true_safety_review_opportunistic_taxon	retain_current_non_priority	0.0227272727272727	0.0	0.1454545454545454	0.2249999999999999	Risk categories are expert-review aids. Only release-table rows alter status.
Prob255_Enterococcus_faecium_S6	Enterococcus	Enterococcus faecium	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.2045454545454545	0.0064935064935064	0.1681818181818181	0.3458041958041958	Risk categories are expert-review aids. Only release-table rows alter status.
Prob275_Escherichia_coli_ATCC_25922	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9772727272727272	1.0	0.7185454545454545	0.8363636363636364	Risk categories are expert-review aids. Only release-table rows alter status.
Prob282_Enterococcus_faecium_EF3	Enterococcus	Enterococcus faecium	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.1363636363636363	0.0064935064935064	0.1681818181818181	0.4176573426573426	Risk categories are expert-review aids. Only release-table rows alter status.
Prob287_Bacillus_cereus_CH	Bacillus	Bacillus cereus	Safety-review	true_safety_review	retain_current_non_priority	0.1818181818181818	0.1623376623376623	0.4636363636363637	0.2596153846153846	Risk categories are expert-review aids. Only release-table rows alter status.
Prob290_Escherichia_coli_C61	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	0.5974025974025974	0.6020000000000001	0.6694055944055944	Risk categories are expert-review aids. Only release-table rows alter status.
Prob293_Bacillus_velezensis_ZBG17	Bacillus	Bacillus velezensis	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.0227272727272727	0.0	0.2954545454545454	0.2171328671328671	Risk categories are expert-review aids. Only release-table rows alter status.
